documento,camion,comision,ayudante,tiempoDescargaMinutos
5,521054,168.43,Juan,116
6,271557,137.04,Pedro,51
11,619245,212.45,Jose,46
21,371209,121.13,Jose,116
25,394969,149.86,Ana,74
31,140680,150.08,Jose,97
33,405139,234.32,Pedro,113
42,213523,139.86,Pedro,56
45,511296,165.29,Roberto,114
48,619740,101.45,Fernando,89
61,276520,225.17,Roberto,95
62,619245,246.8,Carlos,56
68,336462,166.52,Roberto,60
71,371209,217.05,Roberto,109
79,625705,184.8,Roberto,102
83,334987,218.37,Fernando,100
84,246676,131.44,Ricardo,118
95,316106,190.27,Jose,56
102,481424,132.42,Pedro,88
108,518261,224.85,Ana,100
112,159836,180.85,Ricardo,30
113,712737,232.14,Ricardo,69
117,860568,198.96,Fernando,45
122,223108,165.76,Pedro,58
126,410303,170.52,Ricardo,47
140,914261,238.31,Carlos,92
141,171243,212.81,Ana,104
146,494818,181.44,Maria,54
148,619245,125.94,Carlos,115
149,915465,120.84,Luis,109
151,443773,225.21,Jose,99
154,456484,174.64,Ana,33
161,761305,117.23,Ana,95
166,223108,210.77,Pedro,107
167,951832,139.57,Ricardo,98
175,481424,203.23,Juan,63
178,334017,124.8,Jose,98
180,951832,162.61,Roberto,101
184,271557,108.89,Fernando,88
201,336462,161.49,Pedro,77
209,276520,175.61,Fernando,77
223,907827,155.13,Luis,76
225,951832,167.05,Maria,115
226,801595,243.96,Jose,57
228,410303,193.98,Juan,90
230,915465,127.09,Luis,119
235,140680,222.89,Luis,67
238,992659,181.55,Maria,79
249,382958,124.95,Fernando,72
255,118684,172.86,Fernando,30
284,801595,112.6,Fernando,38
288,508226,204.32,Juan,38
289,140680,245.27,Ana,78
290,210562,180.08,Carlos,92
302,272210,144.45,Pedro,88
306,334017,116.14,Jose,107
309,415183,113.21,Maria,53
310,557740,148.97,Carlos,70
316,712737,217.12,Carlos,66
317,159836,195.9,Juan,48
318,860568,126.9,Fernando,54
319,942304,237.74,Carlos,63
320,676248,103.66,Luis,85
323,271557,129.27,Pedro,115
337,773414,150.56,Ana,117
338,439655,115.23,Ricardo,56
344,676248,216.66,Fernando,32
350,382958,150.29,Fernando,116
365,588820,225.98,Ricardo,44
376,823281,113.72,Carlos,117
378,773077,184.83,Pedro,70
389,557740,175.06,Ricardo,41
398,801595,124.81,Maria,115
399,210562,194.14,Juan,48
400,246676,128.25,Luis,98
406,882947,243.43,Pedro,64
414,698479,151.63,Carlos,86
417,583958,198.92,Fernando,104
418,204669,142.63,Fernando,100
432,575379,141.96,Ana,43
440,582268,156.0,Ricardo,93
444,242420,145.68,Ana,77
454,579939,245.84,Juan,91
471,761305,245.71,Jose,71
475,621455,228.45,Fernando,68
476,801595,203.51,Ricardo,84
478,823281,122.64,Pedro,118
483,769176,109.54,Fernando,67
484,468094,161.8,Roberto,118
486,666143,156.74,Luis,107
489,405139,146.37,Ricardo,36
494,914261,210.95,Carlos,96
504,373426,230.59,Ana,110
505,276520,156.65,Ana,86
521,723309,189.44,Roberto,47
524,814458,165.11,Carlos,103
529,625705,208.53,Maria,44
530,882947,246.26,Juan,101
534,583958,100.39,Carlos,80
544,957376,173.27,Carlos,98
545,780171,203.85,Luis,60
548,575379,231.4,Carlos,99
560,405209,241.51,Ricardo,41
568,405139,244.83,Pedro,77
571,529837,116.1,Roberto,69
576,223108,197.27,Juan,109
580,727646,246.15,Ricardo,53
588,140680,218.9,Ricardo,77
590,835118,247.86,Ricardo,30
593,635109,241.11,Maria,114
607,371209,223.07,Pedro,115
610,271557,114.53,Luis,109
611,494239,165.01,Fernando,108
615,579939,210.93,Pedro,62
619,829573,202.95,Juan,108
629,557740,182.68,Jose,32
630,276520,219.24,Fernando,101
636,712737,203.71,Ricardo,102
645,334987,196.76,Luis,44
656,410303,153.05,Luis,64
662,204669,101.0,Jose,114
683,405139,139.47,Carlos,67
692,992659,188.22,Maria,83
698,557740,131.22,Ricardo,71
706,588820,232.56,Luis,50
720,481424,232.07,Maria,116
726,711185,240.08,Fernando,90
734,712737,162.17,Maria,103
735,769176,109.31,Ricardo,92
738,116266,207.86,Luis,43
739,439655,166.45,Roberto,38
741,998319,101.5,Roberto,101
744,666143,147.69,Pedro,109
748,415183,109.31,Ricardo,94
749,814458,111.55,Carlos,58
752,582268,176.93,Ana,93
754,322426,199.01,Roberto,35
757,456484,216.2,Luis,46
761,635109,217.74,Luis,99
772,801595,112.75,Ricardo,32
781,145491,179.85,Maria,82
784,579939,200.64,Ricardo,116
785,213523,207.08,Juan,38
793,823281,164.73,Luis,74
802,481424,132.47,Pedro,106
815,508226,213.86,Juan,54
820,711185,204.27,Carlos,30
824,405209,124.18,Pedro,58
825,521054,108.26,Fernando,95
827,576252,212.0,Ana,91
834,336462,157.9,Ricardo,65
838,443773,220.16,Jose,113
839,907827,108.42,Ricardo,61
846,583958,189.46,Ricardo,48
848,538945,248.44,Ana,113
851,632951,175.13,Maria,106
866,468094,128.91,Fernando,66
867,247357,215.66,Maria,63
870,795306,247.78,Fernando,45
875,942304,248.93,Pedro,80
901,957376,157.68,Juan,36
907,508226,114.5,Luis,106
909,619245,108.47,Roberto,111
910,405209,169.71,Maria,56
914,761305,210.36,Ana,75
917,801595,216.26,Carlos,63
924,847467,194.49,Pedro,99
942,616812,114.85,Roberto,52
944,336462,203.73,Luis,70
947,951832,179.92,Jose,58
949,508226,248.98,Juan,35
961,835118,215.34,Roberto,38
963,616812,172.69,Carlos,54
974,576252,234.59,Ana,47
979,475946,109.08,Juan,114
982,213523,102.0,Ricardo,109
984,814458,195.31,Ricardo,61
991,847467,219.12,Ana,96
997,998319,193.34,Carlos,38
998,494239,215.71,Carlos,42
1003,140680,130.75,Juan,95
1010,942304,189.87,Ana,95
1038,951832,122.92,Ricardo,117
1043,616812,117.93,Fernando,93
1047,601025,193.7,Jose,115
1051,171243,119.44,Juan,59
1052,583958,156.46,Maria,73
1059,468094,121.13,Maria,87
1062,723309,136.28,Ricardo,42
1063,575379,214.9,Pedro,55
1068,823281,145.64,Jose,103
1080,576252,119.83,Pedro,117
1083,847467,117.28,Jose,108
1090,969028,173.49,Jose,34
1091,773077,131.25,Maria,59
1103,506998,105.78,Maria,91
1105,773077,228.58,Fernando,90
1109,394969,105.5,Ana,119
1114,272210,192.08,Juan,110
1126,405139,136.35,Ricardo,106
1129,914261,109.07,Ana,78
1133,468094,173.85,Fernando,86
1139,276520,197.45,Maria,113
1148,908979,183.31,Fernando,56
1153,415183,120.08,Juan,117
1155,371209,178.76,Jose,76
1164,508226,170.05,Fernando,102
1166,969028,154.29,Luis,37
1175,698479,247.79,Juan,83
1180,373426,246.66,Ana,87
1193,475946,203.71,Fernando,31
1196,415183,201.93,Fernando,44
1200,521054,122.64,Jose,32
1209,601025,201.03,Roberto,30
1210,271557,167.38,Ricardo,74
1218,508226,112.28,Maria,51
1219,676248,131.61,Maria,73
1224,373426,135.55,Jose,109
1232,415183,153.86,Jose,43
1234,322426,220.39,Fernando,45
1238,992659,103.28,Ricardo,47
