tienda1,tienda2,distancia,tiempo_mins,costo
Tienda 0,Tienda 1,20,28,105
Tienda 0,Tienda 2,28,97,404
Tienda 0,Tienda 3,97,70,21
Tienda 0,Tienda 4,68,3,452
Tienda 0,Tienda 5,70,49,246
Tienda 0,Tienda 6,24,10,438
Tienda 0,Tienda 7,54,77,375
Tienda 0,Tienda 8,70,13,379
Tienda 0,Tienda 9,10,91,427
Tienda 0,Tienda 10,4,98,304
Tienda 0,Tienda 11,65,74,134
Tienda 0,Tienda 12,75,6,99
Tienda 0,Tienda 13,74,38,313
Tienda 0,Tienda 14,26,34,358
Tienda 0,Tienda 15,85,35,132
Tienda 0,Tienda 16,66,90,174
Tienda 0,Tienda 17,84,39,373
Tienda 0,Tienda 18,49,71,402
Tienda 0,Tienda 19,29,56,355
Tienda 0,Tienda 20,35,29,34
Tienda 0,Tienda 21,53,7,325
Tienda 0,Tienda 22,82,13,356
Tienda 0,Tienda 23,59,37,13
Tienda 0,Tienda 24,93,66,347
Tienda 0,Tienda 25,33,21,383
Tienda 0,Tienda 26,91,53,427
Tienda 0,Tienda 27,37,65,326
Tienda 0,Tienda 28,95,18,449
Tienda 0,Tienda 29,61,57,135
Tienda 0,Tienda 30,37,100,292
Tienda 0,Tienda 31,22,64,339
Tienda 0,Tienda 32,28,59,109
Tienda 0,Tienda 33,30,76,202
Tienda 0,Tienda 34,36,90,93
Tienda 0,Tienda 35,18,76,110
Tienda 0,Tienda 36,29,39,11
Tienda 0,Tienda 37,35,37,255
Tienda 0,Tienda 38,52,14,457
Tienda 0,Tienda 39,92,35,47
Tienda 0,Tienda 40,27,98,10
Tienda 0,Tienda 41,83,49,59
Tienda 0,Tienda 42,47,47,23
Tienda 0,Tienda 43,32,26,5
Tienda 0,Tienda 44,38,60,397
Tienda 0,Tienda 45,48,68,440
Tienda 0,Tienda 46,2,34,47
Tienda 0,Tienda 47,16,41,186
Tienda 0,Tienda 48,11,36,61
Tienda 0,Tienda 49,27,80,118
Tienda 0,Tienda 50,61,18,305
Tienda 0,Tienda 51,74,56,32
Tienda 0,Tienda 52,69,90,5
Tienda 0,Tienda 53,45,4,132
Tienda 0,Tienda 54,77,61,43
Tienda 0,Tienda 55,86,29,444
Tienda 0,Tienda 56,76,14,136
Tienda 0,Tienda 57,99,40,355
Tienda 0,Tienda 58,25,87,61
Tienda 0,Tienda 59,55,34,98
Tienda 0,Tienda 60,12,49,64
Tienda 0,Tienda 61,20,55,193
Tienda 0,Tienda 62,87,67,395
Tienda 0,Tienda 63,16,90,70
Tienda 0,Tienda 64,97,56,86
Tienda 0,Tienda 65,62,91,307
Tienda 0,Tienda 66,72,10,319
Tienda 0,Tienda 67,66,32,40
Tienda 0,Tienda 68,100,71,156
Tienda 0,Tienda 69,92,54,56
Tienda 0,Tienda 70,25,59,483
Tienda 0,Tienda 71,12,94,201
Tienda 0,Tienda 72,48,74,89
Tienda 0,Tienda 73,93,33,258
Tienda 0,Tienda 74,72,37,412
Tienda 0,Tienda 75,64,56,196
Tienda 0,Tienda 76,53,33,498
Tienda 0,Tienda 77,20,87,122
Tienda 0,Tienda 78,57,79,324
Tienda 0,Tienda 79,1,100,266
Tienda 0,Tienda 80,99,94,330
Tienda 0,Tienda 81,50,30,191
Tienda 0,Tienda 82,20,40,476
Tienda 0,Tienda 83,33,76,308
