0,1,2
empresa,producto,costo
Empresa 18,Producto 0,27
Empresa 165,Producto 1,7
Empresa 181,Producto 2,22
Empresa 75,Producto 3,2
Empresa 104,Producto 4,32
Empresa 75,Producto 5,50
Empresa 192,Producto 6,7
Empresa 187,Producto 7,41
Empresa 92,Producto 8,35
Empresa 68,Producto 9,13
Empresa 162,Producto 10,35
Empresa 169,Producto 11,42
Empresa 85,Producto 12,28
Empresa 42,Producto 13,32
Empresa 3,Producto 14,16
Empresa 4,Producto 15,28
Empresa 184,Producto 16,11
Empresa 82,Producto 17,26
Empresa 102,Producto 18,8
Empresa 39,Producto 19,44
Empresa 126,Producto 20,21
Empresa 34,Producto 21,27
Empresa 90,Producto 22,50
Empresa 66,Producto 23,8
Empresa 78,Producto 24,46
Empresa 120,Producto 25,50
Empresa 118,Producto 26,39
Empresa 141,Producto 27,28
Empresa 176,Producto 28,45
Empresa 132,Producto 29,12
Empresa 60,Producto 30,7
Empresa 68,Producto 31,30
Empresa 192,Producto 32,26
Empresa 150,Producto 33,22
Empresa 75,Producto 34,1
Empresa 99,Producto 35,27
Empresa 128,Producto 36,50
Empresa 31,Producto 37,13
Empresa 62,Producto 38,33
Empresa 158,Producto 39,28
Empresa 63,Producto 40,6
Empresa 7,Producto 41,24
Empresa 50,Producto 42,47
Empresa 162,Producto 43,8
Empresa 6,Producto 44,3
Empresa 78,Producto 45,18
Empresa 70,Producto 46,35
Empresa 153,Producto 47,24
Empresa 175,Producto 48,4
Empresa 24,Producto 49,35
Empresa 100,Producto 50,16
Empresa 34,Producto 51,13
Empresa 72,Producto 52,3
Empresa 72,Producto 53,31
Empresa 73,Producto 54,39
Empresa 106,Producto 55,8
Empresa 176,Producto 56,22
Empresa 42,Producto 57,24
Empresa 102,Producto 58,46
Empresa 57,Producto 59,14
Empresa 54,Producto 60,22
Empresa 45,Producto 61,15
Empresa 164,Producto 62,17
Empresa 98,Producto 63,5
Empresa 1,Producto 64,47
Empresa 175,Producto 65,25
Empresa 68,Producto 66,3
Empresa 114,Producto 67,6
Empresa 98,Producto 68,38
Empresa 58,Producto 69,39
