0,1
fabricante,proveedor
Empresa 5,Empresa 4
Empresa 5,Empresa 167
Empresa 5,Empresa 66
Empresa 8,Empresa 150
Empresa 11,Empresa 6
Empresa 11,Empresa 10
Empresa 11,Empresa 153
Empresa 11,Empresa 68
Empresa 12,Empresa 41
Empresa 12,Empresa 85
Empresa 12,Empresa 100
Empresa 12,Empresa 163
Empresa 12,Empresa 101
Empresa 13,Empresa 175
Empresa 13,Empresa 14
Empresa 13,Empresa 169
Empresa 13,Empresa 23
Empresa 16,Empresa 109
Empresa 16,Empresa 15
Empresa 16,Empresa 24
Empresa 16,Empresa 166
Empresa 17,Empresa 28
Empresa 17,Empresa 121
Empresa 17,Empresa 114
Empresa 17,Empresa 39
Empresa 19,Empresa 3
Empresa 19,Empresa 30
Empresa 19,Empresa 115
Empresa 19,Empresa 90
Empresa 20,Empresa 126
Empresa 20,Empresa 2
Empresa 20,Empresa 146
Empresa 20,Empresa 106
Empresa 21,Empresa 158
Empresa 21,Empresa 62
Empresa 21,Empresa 34
Empresa 22,Empresa 58
Empresa 22,Empresa 171
Empresa 22,Empresa 122
Empresa 25,Empresa 30
Empresa 25,Empresa 128
Empresa 25,Empresa 143
Empresa 27,Empresa 132
Empresa 32,Empresa 94
Empresa 32,Empresa 115
Empresa 32,Empresa 164
Empresa 32,Empresa 166
Empresa 32,Empresa 86
Empresa 36,Empresa 157
Empresa 36,Empresa 189
Empresa 36,Empresa 41
Empresa 36,Empresa 126
Empresa 36,Empresa 23
Empresa 38,Empresa 63
Empresa 38,Empresa 158
Empresa 38,Empresa 75
Empresa 40,Empresa 29
Empresa 40,Empresa 179
Empresa 40,Empresa 60
Empresa 40,Empresa 50
Empresa 40,Empresa 176
Empresa 43,Empresa 93
Empresa 43,Empresa 26
Empresa 43,Empresa 181
Empresa 43,Empresa 60
Empresa 43,Empresa 102
Empresa 44,Empresa 29
Empresa 44,Empresa 67
Empresa 44,Empresa 154
Empresa 46,Empresa 121
Empresa 46,Empresa 42
Empresa 48,Empresa 118
Empresa 48,Empresa 115
Empresa 48,Empresa 100
Empresa 51,Empresa 73
Empresa 53,Empresa 35
Empresa 53,Empresa 92
Empresa 53,Empresa 66
Empresa 53,Empresa 42
Empresa 55,Empresa 1
Empresa 55,Empresa 42
Empresa 55,Empresa 18
Empresa 55,Empresa 78
Empresa 56,Empresa 57
Empresa 56,Empresa 189
Empresa 56,Empresa 6
Empresa 56,Empresa 149
Empresa 56,Empresa 26
Empresa 59,Empresa 179
Empresa 59,Empresa 164
Empresa 59,Empresa 195
Empresa 61,Empresa 122
Empresa 61,Empresa 122
Empresa 61,Empresa 164
Empresa 61,Empresa 23
Empresa 61,Empresa 106
Empresa 64,Empresa 132
Empresa 65,Empresa 47
Empresa 65,Empresa 122
Empresa 65,Empresa 34
Empresa 69,Empresa 34
Empresa 69,Empresa 60
Empresa 69,Empresa 67
Empresa 71,Empresa 3
Empresa 71,Empresa 184
Empresa 71,Empresa 85
Empresa 74,Empresa 58
Empresa 74,Empresa 2
Empresa 74,Empresa 150
Empresa 74,Empresa 29
Empresa 74,Empresa 93
Empresa 76,Empresa 85
Empresa 79,Empresa 130
Empresa 79,Empresa 99
Empresa 81,Empresa 181
Empresa 81,Empresa 159
Empresa 84,Empresa 57
Empresa 84,Empresa 37
Empresa 84,Empresa 146
Empresa 88,Empresa 63
Empresa 89,Empresa 49
Empresa 91,Empresa 0
Empresa 91,Empresa 153
Empresa 91,Empresa 153
Empresa 95,Empresa 169
Empresa 95,Empresa 0
Empresa 96,Empresa 30
Empresa 96,Empresa 163
Empresa 97,Empresa 117
