TipoDocumento,FechaEmisión,Numero,Estado,Total
Orden de Compra,2021-06-19,0,Pendiente,499
Orden de Compra,2021-10-29,1,Pendiente,6049
Orden de Compra,2022-04-26,2,Pendiente,859
Despacho a Tienda,2022-11-06,3,Completado,3420
Orden de Compra,2021-05-21,4,Pendiente,9806
Despacho a Tienda,2023-05-29,5,Pendiente,7736
Orden de Compra,2021-03-11,6,Completado,5412
Transferencia a Almacen,2022-11-27,7,Completado,2481
Transferencia a Almacen,2023-07-05,8,Completado,9466
Orden de Compra,2022-08-14,9,Completado,8848
Despacho a Tienda,2021-09-16,10,Completado,4707
Despacho a Tienda,2020-06-01,11,Completado,275
Despacho a Tienda,2020-03-13,12,Completado,9750
Transferencia a Almacen,2020-02-02,13,Pendiente,4983
Despacho a Tienda,2021-06-11,14,Pendiente,3318
Despacho a Tienda,2021-11-06,15,Completado,1175
Orden de Compra,2020-05-13,16,Pendiente,6201
Orden de Compra,2022-12-21,17,Completado,8424
Despacho a Tienda,2020-04-16,18,Pendiente,7636
Despacho a Tienda,2022-05-18,19,Pendiente,9304
Despacho a Tienda,2023-11-20,20,Completado,1712
Transferencia a Almacen,2020-11-19,21,Pendiente,7430
Transferencia a Almacen,2021-03-06,22,Completado,7113
Despacho a Tienda,2023-02-04,23,Completado,4243
Despacho a Tienda,2023-07-19,24,Completado,2177
Orden de Compra,2023-02-05,25,Completado,1508
Transferencia a Almacen,2020-06-07,26,Completado,2698
Despacho a Tienda,2020-09-09,27,Completado,6081
Despacho a Tienda,2023-02-13,28,Completado,5872
Despacho a Tienda,2022-04-24,29,Completado,1085
Despacho a Tienda,2020-02-23,30,Completado,100
Orden de Compra,2023-04-26,31,Completado,5243
Despacho a Tienda,2020-08-20,32,Completado,344
Despacho a Tienda,2020-08-29,33,Completado,5629
Orden de Compra,2023-04-17,34,Pendiente,5363
Despacho a Tienda,2022-07-13,35,Completado,3273
Transferencia a Almacen,2020-11-18,36,Completado,3096
Despacho a Tienda,2023-09-04,37,Pendiente,5191
Transferencia a Almacen,2023-03-25,38,Completado,8539
Transferencia a Almacen,2023-05-25,39,Pendiente,6754
Despacho a Tienda,2023-01-13,40,Pendiente,3520
Transferencia a Almacen,2023-10-14,41,Pendiente,3494
Despacho a Tienda,2022-10-14,42,Completado,5244
Despacho a Tienda,2021-07-01,43,Pendiente,4042
Orden de Compra,2023-06-30,44,Pendiente,5485
Orden de Compra,2021-07-14,45,Pendiente,219
Orden de Compra,2020-05-11,46,Pendiente,9542
Orden de Compra,2020-03-31,47,Pendiente,7363
Transferencia a Almacen,2020-05-05,48,Pendiente,3688
Despacho a Tienda,2021-10-02,49,Pendiente,6958
Transferencia a Almacen,2020-05-21,50,Completado,4219
Orden de Compra,2022-04-17,51,Completado,4425
Despacho a Tienda,2022-01-11,52,Completado,3683
Despacho a Tienda,2023-02-01,53,Completado,8138
Despacho a Tienda,2021-11-09,54,Pendiente,4839
Despacho a Tienda,2022-04-16,55,Completado,7098
Despacho a Tienda,2021-10-28,56,Pendiente,648
Despacho a Tienda,2021-07-20,57,Pendiente,7838
Transferencia a Almacen,2021-10-04,58,Pendiente,7100
Despacho a Tienda,2022-12-02,59,Pendiente,6257
Orden de Compra,2022-05-02,60,Completado,6895
Orden de Compra,2023-10-25,61,Pendiente,7016
Despacho a Tienda,2023-08-31,62,Completado,5069
Orden de Compra,2021-09-19,63,Completado,1411
Transferencia a Almacen,2022-09-01,64,Completado,901
Transferencia a Almacen,2023-12-21,65,Completado,904
Transferencia a Almacen,2021-02-20,66,Completado,6178
Despacho a Tienda,2023-02-03,67,Completado,7761
Despacho a Tienda,2020-08-23,68,Pendiente,4062
Despacho a Tienda,2023-06-28,69,Completado,8943
Transferencia a Almacen,2020-09-15,70,Pendiente,3293
Transferencia a Almacen,2022-07-17,71,Completado,3075
Transferencia a Almacen,2022-01-15,72,Completado,5103
Orden de Compra,2023-08-24,73,Completado,7535
Transferencia a Almacen,2020-04-28,74,Pendiente,5793
Orden de Compra,2021-09-19,75,Pendiente,3059
Transferencia a Almacen,2022-10-27,76,Completado,6807
Despacho a Tienda,2023-11-21,77,Pendiente,965
Orden de Compra,2020-04-26,78,Completado,7075
Transferencia a Almacen,2021-03-11,79,Pendiente,8056
Despacho a Tienda,2023-08-11,80,Completado,1818
Transferencia a Almacen,2023-04-05,81,Completado,566
Despacho a Tienda,2023-05-04,82,Completado,5562
Despacho a Tienda,2021-06-06,83,Pendiente,2977
Transferencia a Almacen,2022-11-04,84,Completado,1498
Despacho a Tienda,2021-10-04,85,Completado,799
Despacho a Tienda,2022-04-26,86,Pendiente,5636
Transferencia a Almacen,2022-10-31,87,Completado,3154
