Tipo,Nombre,Pais,Telefono,Email
Proveedor,Empresa 0,Mexico,2264055643,compras@empresa0.com
Proveedor,Empresa 1,Canada,3692038361,compras@empresa1.com
Proveedor,Empresa 2,Alemania,4797314270,compras@empresa2.net
Proveedor,Empresa 3,Alemania,4469217235,compras@empresa3.net
Proveedor,Empresa 4,Estados Unidos,7046646932,compras@empresa4.com
Fabricante,Empresa 5,Estados Unidos,5107227320,compras@empresa5.net
Proveedor,Empresa 6,Mexico,9407946886,compras@empresa6.net
Fabricante,Empresa 7,Italia,4405956748,compras@empresa7.com
Proveedor,Empresa 8,Canada,9698870359,compras@empresa8.net
Fabricante,Empresa 9,Japon,3738804776,compras@empresa9.com
Proveedor,Empresa 10,Mexico,2200082895,compras@empresa10.net
Fabricante,Empresa 11,China,8129910510,compras@empresa11.com
Fabricante,Empresa 12,Alemania,8310555272,compras@empresa12.net
Fabricante,Empresa 13,Mexico,1347186810,compras@empresa13.net
Proveedor,Empresa 14,Canada,8848394540,compras@empresa14.net
Proveedor,Empresa 15,China,5985985152,compras@empresa15.net
Fabricante,Empresa 16,Brasil,4770716466,compras@empresa16.net
Proveedor,Empresa 17,Estados Unidos,5809587265,compras@empresa17.net
Proveedor,Empresa 18,India,6334954138,compras@empresa18.net
Proveedor,Empresa 19,India,6623674629,compras@empresa19.net
Fabricante,Empresa 20,Alemania,9362043790,compras@empresa20.net
Proveedor,Empresa 21,Francia,9467598051,compras@empresa21.net
Fabricante,Empresa 22,Francia,2085398722,compras@empresa22.com
Proveedor,Empresa 23,Estados Unidos,8906365317,compras@empresa23.com
Proveedor,Empresa 24,Japon,9605562528,compras@empresa24.net
Fabricante,Empresa 25,Brasil,6053000034,compras@empresa25.com
Fabricante,Empresa 26,China,4201032520,compras@empresa26.net
Fabricante,Empresa 27,Mexico,2110986949,compras@empresa27.com
Proveedor,Empresa 28,China,5250493602,compras@empresa28.net
Fabricante,Empresa 29,Estados Unidos,8509401306,compras@empresa29.com
Proveedor,Empresa 30,Mexico,4956074873,compras@empresa30.net
Fabricante,Empresa 31,Estados Unidos,5231415941,compras@empresa31.net
Fabricante,Empresa 32,Alemania,4928180154,compras@empresa32.net
Fabricante,Empresa 33,India,4889964704,compras@empresa33.net
Fabricante,Empresa 34,Alemania,6906033738,compras@empresa34.net
Fabricante,Empresa 35,Estados Unidos,4316793251,compras@empresa35.net
Proveedor,Empresa 36,Brasil,6024812773,compras@empresa36.net
Fabricante,Empresa 37,Japon,7948913726,compras@empresa37.net
Fabricante,Empresa 38,Japon,6880104064,compras@empresa38.net
Proveedor,Empresa 39,Francia,8843643888,compras@empresa39.net
Proveedor,Empresa 40,Francia,8445738089,compras@empresa40.com
Proveedor,Empresa 41,India,6619437226,compras@empresa41.com
Proveedor,Empresa 42,Francia,2562734480,compras@empresa42.net
Fabricante,Empresa 43,Italia,8898143473,compras@empresa43.com
Proveedor,Empresa 44,Estados Unidos,3468165871,compras@empresa44.net
Proveedor,Empresa 45,Mexico,9150658389,compras@empresa45.com
Fabricante,Empresa 46,India,6057704572,compras@empresa46.com
Proveedor,Empresa 47,Alemania,2366428578,compras@empresa47.com
Proveedor,Empresa 48,China,5894310469,compras@empresa48.net
Proveedor,Empresa 49,China,7235599127,compras@empresa49.net
Fabricante,Empresa 50,Francia,4199568274,compras@empresa50.net
Fabricante,Empresa 51,Francia,1282323914,compras@empresa51.com
Fabricante,Empresa 52,China,7012378353,compras@empresa52.net
Fabricante,Empresa 53,Brasil,1381232301,compras@empresa53.com
Fabricante,Empresa 54,Japon,9966039757,compras@empresa54.net
Proveedor,Empresa 55,China,8677867900,compras@empresa55.com
Fabricante,Empresa 56,Italia,2857304474,compras@empresa56.net
Proveedor,Empresa 57,Canada,9765158629,compras@empresa57.com
Fabricante,Empresa 58,Alemania,8493578555,compras@empresa58.net
Proveedor,Empresa 59,India,8103688233,compras@empresa59.net
Proveedor,Empresa 60,Estados Unidos,6215667690,compras@empresa60.net
Proveedor,Empresa 61,Italia,5720111571,compras@empresa61.com
Fabricante,Empresa 62,Canada,8808766808,compras@empresa62.com
Fabricante,Empresa 63,Francia,2634475808,compras@empresa63.com
Proveedor,Empresa 64,India,6408770017,compras@empresa64.net
Fabricante,Empresa 65,Italia,1600843389,compras@empresa65.com
Proveedor,Empresa 66,Mexico,9011114545,compras@empresa66.com
Proveedor,Empresa 67,India,3358003672,compras@empresa67.com
Proveedor,Empresa 68,Canada,3402848128,compras@empresa68.com
Proveedor,Empresa 69,Francia,1118731851,compras@empresa69.com
Proveedor,Empresa 70,Japon,1825686563,compras@empresa70.net
Fabricante,Empresa 71,Japon,3280007447,compras@empresa71.net
Fabricante,Empresa 72,Japon,3732368521,compras@empresa72.net
Proveedor,Empresa 73,Japon,7821796842,compras@empresa73.net
Proveedor,Empresa 74,India,7619402094,compras@empresa74.com
Fabricante,Empresa 75,India,2341308065,compras@empresa75.com
Fabricante,Empresa 76,Estados Unidos,5450653548,compras@empresa76.com
Proveedor,Empresa 77,Japon,3593185876,compras@empresa77.com
Fabricante,Empresa 78,Brasil,4697928642,compras@empresa78.com
Proveedor,Empresa 79,Estados Unidos,2545535464,compras@empresa79.net
Fabricante,Empresa 80,Italia,1916686675,compras@empresa80.com
Fabricante,Empresa 81,Italia,8273159808,compras@empresa81.net
Fabricante,Empresa 82,China,2044392433,compras@empresa82.net
Proveedor,Empresa 83,India,2133523221,compras@empresa83.net
Fabricante,Empresa 84,China,3749365675,compras@empresa84.net
Fabricante,Empresa 85,Italia,9164012070,compras@empresa85.com
Proveedor,Empresa 86,Canada,9950744378,compras@empresa86.com
Fabricante,Empresa 87,Francia,5781356155,compras@empresa87.net
Proveedor,Empresa 88,Canada,7636250792,compras@empresa88.com
Proveedor,Empresa 89,Francia,2179518728,compras@empresa89.net
Proveedor,Empresa 90,Francia,5235289043,compras@empresa90.com
Fabricante,Empresa 91,India,6160405870,compras@empresa91.net
Proveedor,Empresa 92,Alemania,8144320071,compras@empresa92.net
Fabricante,Empresa 93,Canada,1277544030,compras@empresa93.com
Proveedor,Empresa 94,Alemania,9993659667,compras@empresa94.com
Fabricante,Empresa 95,Mexico,7621669797,compras@empresa95.com
Fabricante,Empresa 96,China,8874672094,compras@empresa96.net
Proveedor,Empresa 97,Alemania,4260971123,compras@empresa97.net
Fabricante,Empresa 98,Canada,4863353384,compras@empresa98.com
Proveedor,Empresa 99,Mexico,3231789806,compras@empresa99.com
Proveedor,Empresa 100,Mexico,4474897432,compras@empresa100.com
Proveedor,Empresa 101,Mexico,9993174999,compras@empresa101.net
Proveedor,Empresa 102,Japon,8208358653,compras@empresa102.com
Fabricante,Empresa 103,Estados Unidos,6159242910,compras@empresa103.net
Proveedor,Empresa 104,Canada,7061618252,compras@empresa104.com
Proveedor,Empresa 105,Canada,4272279686,compras@empresa105.com
Proveedor,Empresa 106,China,8890140275,compras@empresa106.com
Fabricante,Empresa 107,Japon,1680327945,compras@empresa107.net
Fabricante,Empresa 108,India,2968882712,compras@empresa108.com
Proveedor,Empresa 109,Alemania,2097542419,compras@empresa109.net
Proveedor,Empresa 110,India,7764407562,compras@empresa110.com
Fabricante,Empresa 111,China,4481398045,compras@empresa111.net
Fabricante,Empresa 112,China,6224052693,compras@empresa112.net
Fabricante,Empresa 113,Canada,9350375993,compras@empresa113.net
Proveedor,Empresa 114,Italia,9850636997,compras@empresa114.com
Proveedor,Empresa 115,Mexico,6005907820,compras@empresa115.net
Fabricante,Empresa 116,Brasil,8687227455,compras@empresa116.com
Fabricante,Empresa 117,Canada,7523008821,compras@empresa117.com
Proveedor,Empresa 118,Japon,9856134287,compras@empresa118.com
Proveedor,Empresa 119,Brasil,6509311597,compras@empresa119.com
Fabricante,Empresa 120,India,8371991847,compras@empresa120.net
Proveedor,Empresa 121,Francia,7528911595,compras@empresa121.com
Proveedor,Empresa 122,Francia,6242147429,compras@empresa122.com
Proveedor,Empresa 123,India,3037697192,compras@empresa123.com
Fabricante,Empresa 124,Canada,5160948822,compras@empresa124.net
Proveedor,Empresa 125,Brasil,2416783178,compras@empresa125.net
Fabricante,Empresa 126,Mexico,6441264425,compras@empresa126.com
Fabricante,Empresa 127,Estados Unidos,1494488774,compras@empresa127.net
Fabricante,Empresa 128,Brasil,5311729947,compras@empresa128.com
Fabricante,Empresa 129,Brasil,5563532795,compras@empresa129.net
Proveedor,Empresa 130,India,2299289065,compras@empresa130.com
Proveedor,Empresa 131,Brasil,9288612843,compras@empresa131.com
Fabricante,Empresa 132,Estados Unidos,6873949404,compras@empresa132.com
Proveedor,Empresa 133,Italia,5958191565,compras@empresa133.net
Fabricante,Empresa 134,Italia,7586052333,compras@empresa134.net
Proveedor,Empresa 135,Italia,7692914049,compras@empresa135.net
Fabricante,Empresa 136,China,3821564757,compras@empresa136.net
Proveedor,Empresa 137,Canada,1474867382,compras@empresa137.net
Fabricante,Empresa 138,Alemania,6339081804,compras@empresa138.com
Proveedor,Empresa 139,China,4259938194,compras@empresa139.com
Proveedor,Empresa 140,Alemania,2800498912,compras@empresa140.net
Proveedor,Empresa 141,Mexico,3586965248,compras@empresa141.com
Fabricante,Empresa 142,Canada,6172504220,compras@empresa142.net
Fabricante,Empresa 143,India,9288010830,compras@empresa143.com
Proveedor,Empresa 144,China,1858996267,compras@empresa144.net
Proveedor,Empresa 145,Mexico,6865929789,compras@empresa145.com
Fabricante,Empresa 146,Brasil,3624415504,compras@empresa146.net
Fabricante,Empresa 147,Japon,2560340333,compras@empresa147.com
Proveedor,Empresa 148,Japon,1642450123,compras@empresa148.com
Fabricante,Empresa 149,Canada,3476288156,compras@empresa149.com
Proveedor,Empresa 150,China,9226345582,compras@empresa150.com
Fabricante,Empresa 151,Francia,7179180227,compras@empresa151.net
Fabricante,Empresa 152,Francia,4388994161,compras@empresa152.net
Fabricante,Empresa 153,Japon,4058049194,compras@empresa153.com
Proveedor,Empresa 154,Japon,5316567501,compras@empresa154.net
Fabricante,Empresa 155,Japon,3561317013,compras@empresa155.com
Fabricante,Empresa 156,Japon,5157345231,compras@empresa156.com
Proveedor,Empresa 157,India,3688677435,compras@empresa157.com
Fabricante,Empresa 158,Alemania,6127765061,compras@empresa158.net
Fabricante,Empresa 159,Alemania,4673368143,compras@empresa159.net
Proveedor,Empresa 160,Estados Unidos,5025714001,compras@empresa160.net
Proveedor,Empresa 161,Brasil,2184001026,compras@empresa161.com
Proveedor,Empresa 162,Italia,8674356947,compras@empresa162.net
Fabricante,Empresa 163,Alemania,5274260230,compras@empresa163.net
Proveedor,Empresa 164,Alemania,2487621959,compras@empresa164.net
Proveedor,Empresa 165,Japon,5863453525,compras@empresa165.com
Fabricante,Empresa 166,Francia,4428317791,compras@empresa166.net
Proveedor,Empresa 167,Estados Unidos,5254712330,compras@empresa167.com
Fabricante,Empresa 168,India,3437248302,compras@empresa168.net
Fabricante,Empresa 169,Canada,1848926363,compras@empresa169.net
Proveedor,Empresa 170,Japon,2302295123,compras@empresa170.net
Fabricante,Empresa 171,India,2028863868,compras@empresa171.net
Proveedor,Empresa 172,Estados Unidos,1704206670,compras@empresa172.net
Proveedor,Empresa 173,Brasil,5492329905,compras@empresa173.com
Fabricante,Empresa 174,Brasil,1708076230,compras@empresa174.com
Fabricante,Empresa 175,Japon,3580799789,compras@empresa175.net
Fabricante,Empresa 176,Brasil,2727687123,compras@empresa176.net
Proveedor,Empresa 177,India,2928096955,compras@empresa177.com
Fabricante,Empresa 178,Japon,9065918945,compras@empresa178.com
Fabricante,Empresa 179,Estados Unidos,7570961186,compras@empresa179.com
Fabricante,Empresa 180,China,6026012633,compras@empresa180.com
Fabricante,Empresa 181,Brasil,2073973161,compras@empresa181.com
Fabricante,Empresa 182,Canada,1129922065,compras@empresa182.com
Fabricante,Empresa 183,Brasil,2529101391,compras@empresa183.net
Proveedor,Empresa 184,China,4074833164,compras@empresa184.net
Proveedor,Empresa 185,India,6660283037,compras@empresa185.com
Fabricante,Empresa 186,China,2678983910,compras@empresa186.com
Proveedor,Empresa 187,Brasil,4022829212,compras@empresa187.net
Proveedor,Empresa 188,Canada,5833166603,compras@empresa188.net
Fabricante,Empresa 189,Francia,1026990423,compras@empresa189.com
Fabricante,Empresa 190,Canada,9552555228,compras@empresa190.com
Proveedor,Empresa 191,Alemania,1262797404,compras@empresa191.net
Fabricante,Empresa 192,Estados Unidos,6620224923,compras@empresa192.com
Proveedor,Empresa 193,Alemania,1040232100,compras@empresa193.com
Proveedor,Empresa 194,Estados Unidos,1541227115,compras@empresa194.com
Fabricante,Empresa 195,Brasil,6706700657,compras@empresa195.com
Proveedor,Empresa 196,Japon,4903270939,compras@empresa196.com
Proveedor,Empresa 197,Italia,3299376397,compras@empresa197.net
Fabricante,Empresa 198,Estados Unidos,6923801032,compras@empresa198.net
