0,1
empresa,producto
Empresa 53,Producto 0
Empresa 61,Producto 1
Empresa 53,Producto 2
Empresa 55,Producto 3
Empresa 108,Producto 4
Empresa 197,Producto 5
Empresa 133,Producto 6
Empresa 133,Producto 7
Empresa 199,Producto 8
Empresa 139,Producto 9
Empresa 97,Producto 10
Empresa 21,Producto 11
Empresa 74,Producto 12
Empresa 48,Producto 13
Empresa 16,Producto 14
Empresa 76,Producto 15
Empresa 81,Producto 16
Empresa 81,Producto 17
Empresa 55,Producto 18
Empresa 110,Producto 19
Empresa 145,Producto 20
Empresa 25,Producto 21
Empresa 21,Producto 22
Empresa 27,Producto 23
Empresa 44,Producto 24
Empresa 56,Producto 25
Empresa 112,Producto 26
Empresa 145,Producto 27
Empresa 11,Producto 28
Empresa 38,Producto 29
Empresa 140,Producto 30
Empresa 108,Producto 31
Empresa 160,Producto 32
Empresa 55,Producto 33
Empresa 91,Producto 34
Empresa 38,Producto 35
Empresa 119,Producto 36
Empresa 17,Producto 37
Empresa 59,Producto 38
Empresa 43,Producto 39
Empresa 55,Producto 40
Empresa 191,Producto 41
Empresa 160,Producto 42
Empresa 46,Producto 43
Empresa 108,Producto 44
Empresa 199,Producto 45
Empresa 127,Producto 46
Empresa 43,Producto 47
Empresa 13,Producto 48
Empresa 152,Producto 49
Empresa 11,Producto 50
Empresa 140,Producto 51
Empresa 105,Producto 52
Empresa 174,Producto 53
Empresa 173,Producto 54
Empresa 188,Producto 55
Empresa 21,Producto 56
Empresa 188,Producto 57
Empresa 110,Producto 58
Empresa 16,Producto 59
Empresa 170,Producto 60
Empresa 25,Producto 61
Empresa 97,Producto 62
Empresa 129,Producto 63
Empresa 8,Producto 64
Empresa 161,Producto 65
Empresa 89,Producto 66
Empresa 53,Producto 67
Empresa 139,Producto 68
Empresa 40,Producto 69
Empresa 16,Producto 70
Empresa 137,Producto 71
Empresa 161,Producto 72
Empresa 64,Producto 73
Empresa 12,Producto 74
Empresa 110,Producto 75
Empresa 177,Producto 76
Empresa 81,Producto 77
Empresa 133,Producto 78
Empresa 112,Producto 79
Empresa 161,Producto 80
Empresa 136,Producto 81
Empresa 95,Producto 82
Empresa 108,Producto 83
Empresa 160,Producto 84
Empresa 197,Producto 85
Empresa 136,Producto 86
Empresa 145,Producto 87
Empresa 71,Producto 88
Empresa 21,Producto 89
Empresa 17,Producto 90
Empresa 183,Producto 91
Empresa 191,Producto 92
Empresa 119,Producto 93
Empresa 36,Producto 94
Empresa 12,Producto 95
Empresa 65,Producto 96
Empresa 81,Producto 97
Empresa 191,Producto 98
Empresa 89,Producto 99
Empresa 127,Producto 100
Empresa 107,Producto 101
Empresa 11,Producto 102
Empresa 79,Producto 103
Empresa 46,Producto 104
Empresa 36,Producto 105
Empresa 148,Producto 106
Empresa 111,Producto 107
Empresa 8,Producto 108
Empresa 177,Producto 109
Empresa 40,Producto 110
Empresa 8,Producto 111
Empresa 36,Producto 112
Empresa 25,Producto 113
Empresa 55,Producto 114
Empresa 123,Producto 115
Empresa 174,Producto 116
Empresa 36,Producto 117
Empresa 48,Producto 118
Empresa 16,Producto 119
Empresa 27,Producto 120
Empresa 61,Producto 121
Empresa 170,Producto 122
Empresa 21,Producto 123
Empresa 21,Producto 124
Empresa 36,Producto 125
Empresa 12,Producto 126
Empresa 12,Producto 127
Empresa 46,Producto 128
Empresa 170,Producto 129
Empresa 135,Producto 130
Empresa 190,Producto 131
Empresa 182,Producto 132
Empresa 152,Producto 133
Empresa 182,Producto 134
Empresa 119,Producto 135
Empresa 69,Producto 136
Empresa 64,Producto 137
Empresa 186,Producto 138
Empresa 36,Producto 139
Empresa 22,Producto 140
Empresa 46,Producto 141
Empresa 95,Producto 142
Empresa 148,Producto 143
Empresa 51,Producto 144
Empresa 168,Producto 145
Empresa 25,Producto 146
Empresa 185,Producto 147
Empresa 160,Producto 148
Empresa 127,Producto 149
Empresa 116,Producto 150
Empresa 20,Producto 151
Empresa 116,Producto 152
Empresa 21,Producto 153
Empresa 43,Producto 154
Empresa 36,Producto 155
Empresa 53,Producto 156
Empresa 65,Producto 157
Empresa 182,Producto 158
Empresa 155,Producto 159
Empresa 190,Producto 160
Empresa 196,Producto 161
Empresa 105,Producto 162
Empresa 56,Producto 163
Empresa 134,Producto 164
Empresa 108,Producto 165
Empresa 25,Producto 166
Empresa 136,Producto 167
Empresa 95,Producto 168
Empresa 53,Producto 169
Empresa 16,Producto 170
Empresa 103,Producto 171
Empresa 91,Producto 172
Empresa 190,Producto 173
Empresa 103,Producto 174
Empresa 147,Producto 175
Empresa 88,Producto 176
Empresa 88,Producto 177
Empresa 140,Producto 178
Empresa 22,Producto 179
Empresa 145,Producto 180
Empresa 173,Producto 181
Empresa 131,Producto 182
Empresa 13,Producto 183
Empresa 8,Producto 184
Empresa 135,Producto 185
Empresa 144,Producto 186
Empresa 139,Producto 187
Empresa 116,Producto 188
Empresa 5,Producto 189
Empresa 65,Producto 190
Empresa 56,Producto 191
Empresa 20,Producto 192
Empresa 177,Producto 193
Empresa 110,Producto 194
Empresa 139,Producto 195
Empresa 173,Producto 196
Empresa 64,Producto 197
Empresa 5,Producto 198
Empresa 134,Producto 199
Empresa 152,Producto 200
Empresa 185,Producto 201
Empresa 129,Producto 202
Empresa 107,Producto 203
Empresa 43,Producto 204
Empresa 111,Producto 205
Empresa 177,Producto 206
Empresa 185,Producto 207
Empresa 89,Producto 208
Empresa 74,Producto 209
Empresa 32,Producto 210
Empresa 125,Producto 211
Empresa 197,Producto 212
Empresa 59,Producto 213
Empresa 107,Producto 214
Empresa 32,Producto 215
Empresa 11,Producto 216
Empresa 139,Producto 217
Empresa 111,Producto 218
Empresa 131,Producto 219
Empresa 69,Producto 220
Empresa 55,Producto 221
Empresa 56,Producto 222
Empresa 25,Producto 223
Empresa 196,Producto 224
Empresa 74,Producto 225
Empresa 32,Producto 226
Empresa 13,Producto 227
Empresa 96,Producto 228
Empresa 51,Producto 229
Empresa 170,Producto 230
Empresa 16,Producto 231
Empresa 76,Producto 232
Empresa 119,Producto 233
Empresa 76,Producto 234
Empresa 160,Producto 235
Empresa 140,Producto 236
Empresa 112,Producto 237
Empresa 174,Producto 238
Empresa 136,Producto 239
Empresa 97,Producto 240
Empresa 134,Producto 241
Empresa 32,Producto 242
Empresa 46,Producto 243
Empresa 103,Producto 244
Empresa 127,Producto 245
Empresa 137,Producto 246
Empresa 21,Producto 247
Empresa 199,Producto 248
Empresa 105,Producto 249
Empresa 95,Producto 250
Empresa 108,Producto 251
Empresa 182,Producto 252
Empresa 44,Producto 253
Empresa 147,Producto 254
Empresa 161,Producto 255
Empresa 5,Producto 256
Empresa 71,Producto 257
Empresa 148,Producto 258
Empresa 95,Producto 259
Empresa 134,Producto 260
Empresa 135,Producto 261
Empresa 38,Producto 262
Empresa 69,Producto 263
Empresa 81,Producto 264
Empresa 89,Producto 265
Empresa 112,Producto 266
Empresa 97,Producto 267
Empresa 19,Producto 268
Empresa 43,Producto 269
Empresa 59,Producto 270
Empresa 95,Producto 271
Empresa 129,Producto 272
Empresa 199,Producto 273
Empresa 137,Producto 274
Empresa 123,Producto 275
Empresa 65,Producto 276
Empresa 16,Producto 277
Empresa 69,Producto 278
Empresa 168,Producto 279
Empresa 97,Producto 280
Empresa 144,Producto 281
Empresa 131,Producto 282
Empresa 20,Producto 283
Empresa 170,Producto 284
Empresa 116,Producto 285
Empresa 123,Producto 286
Empresa 182,Producto 287
Empresa 19,Producto 288
Empresa 185,Producto 289
Empresa 112,Producto 290
Empresa 196,Producto 291
Empresa 51,Producto 292
Empresa 20,Producto 293
Empresa 105,Producto 294
Empresa 88,Producto 295
Empresa 48,Producto 296
Empresa 91,Producto 297
Empresa 95,Producto 298
Empresa 89,Producto 299
