empresa,producto,materiales,costo,fechaInicio
Empresa 16,Producto 0,"['Acero 1', 'Cobre 2', 'Aluminio 3']",139.01,2017-07-26
Empresa 139,Producto 1,"['Grafeno 1', 'Silicón 2']",109.25,2016-02-06
Empresa 145,Producto 2,"['Fibra de Carbono 1', 'Aluminio 2', 'Plastico 3', 'Acero 4', 'Aluminio 5']",80.48,2018-08-30
Empresa 194,Producto 3,"['Cobre 1', 'Cobre 2']",57.61,2017-02-11
Empresa 92,Producto 4,"['Grafeno 1', 'Plastico 2']",133.47,2016-10-13
Empresa 136,Producto 5,"['Silicón 1', 'Cerámica 2']",117.54,2019-02-22
Empresa 47,Producto 6,"['Silicón 1', 'Cobre 2', 'Acero 3']",75.62,2015-12-05
Empresa 171,Producto 7,"['Acero 1', 'Cobre 2', 'Cobre 3', 'Grafeno 4']",60.75,2016-12-08
Empresa 110,Producto 8,"['Cobalto 1', 'Plastico 2', 'Fibra de Carbono 3', 'Cerámica 4']",94.81,2016-10-24
Empresa 153,Producto 9,"['Cobalto 1', 'Fibra de Carbono 2']",71.61,2018-06-09
Empresa 104,Producto 10,"['Plastico 1', 'Grafeno 2', 'Níquel 3']",145.65,2019-08-05
Empresa 191,Producto 11,"['Aluminio 1', 'Cobre 2', 'Aluminio 3', 'Grafeno 4', 'Silicón 5']",100.62,2015-07-12
Empresa 36,Producto 12,"['Cobre 1', 'Cobre 2', 'Silicón 3', 'Cerámica 4', 'Silicón 5']",98.09,2018-06-10
Empresa 96,Producto 13,"['Silicón 1', 'Níquel 2', 'Acero 3', 'Níquel 4']",71.09,2019-08-15
Empresa 66,Producto 14,"['Acero 1', 'Silicón 2', 'Cobre 3']",85.14,2016-03-11
Empresa 10,Producto 15,"['Cobre 1', 'Níquel 2', 'Cobre 3', 'Cerámica 4']",92.47,2018-02-07
Empresa 58,Producto 16,"['Acero 1', 'Fibra de Carbono 2', 'Acero 3', 'Cobre 4', 'Cerámica 5']",71.74,2017-06-24
Empresa 3,Producto 17,"['Acero 1', 'Aluminio 2', 'Silicón 3']",94.75,2017-06-14
Empresa 111,Producto 18,"['Níquel 1', 'Cobre 2']",139.5,2015-07-23
Empresa 139,Producto 19,"['Cobre 1', 'Fibra de Carbono 2', 'Aluminio 3']",130.53,2019-11-30
Empresa 105,Producto 20,"['Acero 1', 'Cerámica 2', 'Plastico 3']",68.42,2015-09-03
Empresa 143,Producto 21,"['Fibra de Carbono 1', 'Aluminio 2', 'Cobre 3', 'Grafeno 4']",90.02,2017-08-13
Empresa 92,Producto 22,"['Plastico 1', 'Acero 2', 'Cobre 3', 'Cobre 4']",126.38,2018-11-13
Empresa 14,Producto 23,"['Níquel 1', 'Cobalto 2', 'Aluminio 3', 'Cobre 4', 'Aluminio 5']",139.06,2016-08-14
Empresa 175,Producto 24,"['Acero 1', 'Níquel 2', 'Acero 3', 'Plastico 4', 'Cobre 5']",100.59,2018-10-23
Empresa 67,Producto 25,"['Cobre 1', 'Cerámica 2', 'Cobre 3']",115.08,2016-09-11
Empresa 95,Producto 26,"['Acero 1', 'Silicón 2', 'Cobre 3']",109.85,2018-09-17
Empresa 143,Producto 27,"['Grafeno 1', 'Plastico 2']",109.37,2015-11-07
Empresa 16,Producto 28,"['Níquel 1', 'Acero 2', 'Cobre 3', 'Cerámica 4']",111.67,2015-05-15
Empresa 126,Producto 29,"['Cobre 1', 'Silicón 2', 'Aluminio 3', 'Fibra de Carbono 4']",81.75,2019-12-20
Empresa 127,Producto 30,"['Grafeno 1', 'Níquel 2', 'Cobre 3']",109.53,2017-10-12
Empresa 138,Producto 31,"['Acero 1', 'Cobre 2']",57.09,2018-02-10
Empresa 65,Producto 32,"['Grafeno 1', 'Cobalto 2', 'Cobalto 3', 'Cobre 4', 'Cobalto 5']",134.43,2015-06-03
Empresa 15,Producto 33,"['Grafeno 1', 'Cobre 2']",50.7,2017-12-12
Empresa 15,Producto 34,"['Fibra de Carbono 1', 'Cobre 2']",109.99,2015-06-15
Empresa 137,Producto 35,"['Acero 1', 'Silicón 2', 'Níquel 3']",117.42,2017-08-12
Empresa 162,Producto 36,"['Aluminio 1', 'Cobre 2', 'Plastico 3', 'Níquel 4']",79.44,2017-09-17
Empresa 15,Producto 37,"['Acero 1', 'Cobre 2', 'Acero 3']",95.79,2019-03-29
Empresa 157,Producto 38,"['Cobre 1', 'Níquel 2', 'Plastico 3', 'Fibra de Carbono 4']",114.06,2015-05-01
Empresa 105,Producto 39,"['Fibra de Carbono 1', 'Cobre 2']",65.42,2015-09-13
Empresa 95,Producto 40,"['Níquel 1', 'Cerámica 2', 'Grafeno 3']",126.71,2019-10-22
Empresa 161,Producto 41,"['Cerámica 1', 'Cerámica 2', 'Cobre 3', 'Cobre 4', 'Cobre 5']",118.45,2017-10-26
Empresa 145,Producto 42,"['Cobre 1', 'Cerámica 2', 'Cobalto 3', 'Plastico 4', 'Plastico 5']",126.07,2016-05-14
Empresa 14,Producto 43,"['Cobalto 1', 'Cobre 2', 'Grafeno 3']",124.08,2017-06-22
Empresa 82,Producto 44,"['Níquel 1', 'Acero 2', 'Grafeno 3', 'Cobre 4', 'Acero 5']",118.7,2017-02-20
Empresa 31,Producto 45,"['Cobalto 1', 'Grafeno 2', 'Níquel 3']",92.31,2017-08-12
Empresa 199,Producto 46,"['Cobalto 1', 'Plastico 2']",129.37,2015-10-24
Empresa 45,Producto 47,"['Cobre 1', 'Níquel 2']",51.73,2015-10-01
Empresa 68,Producto 48,"['Grafeno 1', 'Fibra de Carbono 2', 'Cobre 3', 'Cobre 4', 'Fibra de Carbono 5']",82.18,2019-04-21
Empresa 170,Producto 49,"['Fibra de Carbono 1', 'Cerámica 2', 'Acero 3']",143.85,2019-07-26
Empresa 158,Producto 50,"['Cerámica 1', 'Grafeno 2']",62.26,2017-08-11
Empresa 20,Producto 51,"['Cobre 1', 'Plastico 2']",61.82,2015-05-07
Empresa 41,Producto 52,"['Cerámica 1', 'Acero 2', 'Cobre 3', 'Cobalto 4']",94.73,2017-01-10
Empresa 16,Producto 53,"['Plastico 1', 'Cobalto 2', 'Grafeno 3', 'Cerámica 4']",83.1,2019-12-13
Empresa 118,Producto 54,"['Cobre 1', 'Cobre 2']",127.1,2017-02-12
Empresa 42,Producto 55,"['Cobre 1', 'Fibra de Carbono 2', 'Silicón 3']",79.36,2019-12-11
Empresa 148,Producto 56,"['Cobre 1', 'Acero 2', 'Níquel 3']",114.86,2018-05-27
Empresa 157,Producto 57,"['Cobalto 1', 'Acero 2', 'Cobalto 3', 'Plastico 4', 'Cobalto 5']",117.78,2017-01-19
Empresa 31,Producto 58,"['Acero 1', 'Cobalto 2', 'Fibra de Carbono 3', 'Cerámica 4']",105.43,2017-10-28
Empresa 191,Producto 59,"['Cobre 1', 'Cobalto 2', 'Acero 3']",96.58,2017-02-09
Empresa 162,Producto 60,"['Aluminio 1', 'Grafeno 2', 'Silicón 3', 'Níquel 4', 'Acero 5']",50.52,2019-01-30
Empresa 175,Producto 61,"['Aluminio 1', 'Cerámica 2', 'Fibra de Carbono 3', 'Plastico 4', 'Níquel 5']",140.78,2019-01-11
Empresa 9,Producto 62,"['Aluminio 1', 'Grafeno 2']",111.88,2018-07-17
Empresa 138,Producto 63,"['Níquel 1', 'Acero 2']",103.85,2015-03-06
Empresa 185,Producto 64,"['Aluminio 1', 'Aluminio 2', 'Cerámica 3']",118.96,2019-06-19
Empresa 122,Producto 65,"['Grafeno 1', 'Aluminio 2', 'Cobre 3', 'Aluminio 4', 'Silicón 5']",134.25,2017-07-26
Empresa 158,Producto 66,"['Cobalto 1', 'Fibra de Carbono 2']",145.59,2019-02-25
Empresa 74,Producto 67,"['Plastico 1', 'Cobre 2', 'Cobalto 3', 'Cobalto 4', 'Plastico 5']",95.2,2017-03-21
Empresa 35,Producto 68,"['Fibra de Carbono 1', 'Níquel 2']",112.34,2018-05-03
Empresa 139,Producto 69,"['Grafeno 1', 'Plastico 2']",143.84,2017-09-28
Empresa 154,Producto 70,"['Fibra de Carbono 1', 'Cobre 2', 'Fibra de Carbono 3', 'Grafeno 4', 'Plastico 5']",121.69,2016-07-07
Empresa 141,Producto 71,"['Cobre 1', 'Fibra de Carbono 2']",78.76,2016-04-21
Empresa 42,Producto 72,"['Silicón 1', 'Níquel 2', 'Cobalto 3']",137.78,2019-04-28
Empresa 16,Producto 73,"['Cobre 1', 'Silicón 2', 'Cobre 3']",123.45,2015-08-16
Empresa 38,Producto 74,"['Cobre 1', 'Aluminio 2', 'Cobre 3', 'Acero 4', 'Cobalto 5']",120.27,2017-09-07
Empresa 10,Producto 75,"['Cobre 1', 'Fibra de Carbono 2', 'Grafeno 3', 'Acero 4']",101.4,2015-09-13
Empresa 42,Producto 76,"['Grafeno 1', 'Cobre 2', 'Aluminio 3']",108.32,2019-10-05
Empresa 157,Producto 77,"['Grafeno 1', 'Cerámica 2', 'Silicón 3']",90.21,2018-03-02
