almacen,producto,cantidad,shelfTimePromedioDias,bloque
Almacen 0,Producto 0,36,27.19,C-4
Almacen 0,Producto 1,55,15.49,F-8
Almacen 0,Producto 2,48,1.65,D-3
Almacen 0,Producto 3,75,19.33,A-6
Almacen 0,Producto 4,15,11.73,B-5
Almacen 0,Producto 5,84,2.13,A-2
Almacen 0,Producto 6,55,17.04,C-4
Almacen 0,Producto 7,88,25.67,H-8
Almacen 0,Producto 8,86,11.67,C-2
Almacen 0,Producto 9,91,25.26,F-4
Almacen 0,Producto 10,35,21.46,A-4
Almacen 0,Producto 11,10,23.04,G-5
Almacen 0,Producto 12,83,23.19,C-3
Almacen 0,Producto 13,79,28.98,B-4
Almacen 0,Producto 14,9,27.98,F-2
Almacen 0,Producto 15,29,20.47,F-4
Almacen 0,Producto 16,91,9.98,C-7
Almacen 0,Producto 17,71,20.49,B-8
Almacen 0,Producto 18,46,6.54,B-4
Almacen 0,Producto 19,31,11.91,D-4
Almacen 0,Producto 20,83,27.85,E-4
Almacen 0,Producto 21,23,14.81,G-8
Almacen 0,Producto 22,57,15.21,H-3
Almacen 0,Producto 23,100,4.03,F-5
Almacen 0,Producto 24,10,5.9,B-5
Almacen 0,Producto 25,62,9.58,C-1
Almacen 0,Producto 26,17,28.07,C-5
Almacen 0,Producto 27,42,13.89,H-2
Almacen 0,Producto 28,97,17.47,B-4
Almacen 0,Producto 29,5,6.15,C-1
Almacen 0,Producto 30,73,17.04,E-2
Almacen 0,Producto 31,33,19.17,F-3
Almacen 0,Producto 32,41,12.95,C-4
Almacen 0,Producto 33,27,14.58,H-2
Almacen 0,Producto 34,28,15.5,A-3
Almacen 0,Producto 35,95,20.78,B-1
Almacen 0,Producto 36,14,10.58,A-3
Almacen 0,Producto 37,43,22.98,A-4
Almacen 0,Producto 38,68,20.77,G-8
Almacen 0,Producto 39,77,5.15,A-7
Almacen 0,Producto 40,2,5.25,H-2
Almacen 0,Producto 41,32,15.3,H-3
Almacen 0,Producto 42,15,3.47,C-4
Almacen 0,Producto 43,77,28.66,E-5
Almacen 0,Producto 44,97,13.72,F-5
Almacen 0,Producto 45,25,21.09,G-2
Almacen 0,Producto 46,84,16.14,G-8
Almacen 0,Producto 47,27,2.46,G-6
Almacen 0,Producto 48,70,11.82,H-7
Almacen 0,Producto 49,90,4.28,D-2
Almacen 0,Producto 50,68,26.49,G-3
Almacen 0,Producto 51,78,12.78,E-7
Almacen 0,Producto 52,26,27.42,D-2
Almacen 0,Producto 53,70,22.54,F-2
Almacen 0,Producto 54,72,22.73,H-5
Almacen 0,Producto 55,14,16.61,F-8
Almacen 0,Producto 56,73,23.65,H-3
Almacen 0,Producto 57,60,10.46,G-3
Almacen 0,Producto 58,6,17.31,H-5
Almacen 0,Producto 59,18,10.68,C-1
Almacen 0,Producto 60,58,4.39,G-7
Almacen 0,Producto 61,36,20.6,A-3
Almacen 0,Producto 62,69,20.57,D-6
Almacen 0,Producto 63,59,2.35,F-3
Almacen 0,Producto 64,48,26.4,G-3
Almacen 0,Producto 65,27,26.0,G-7
Almacen 0,Producto 66,65,25.5,A-5
Almacen 0,Producto 67,73,17.81,C-1
Almacen 0,Producto 68,86,6.31,B-7
Almacen 0,Producto 69,95,15.32,G-4
Almacen 0,Producto 70,100,6.66,G-8
Almacen 0,Producto 71,2,11.02,G-5
Almacen 0,Producto 72,66,23.35,F-1
Almacen 0,Producto 73,21,25.08,C-8
Almacen 0,Producto 74,82,9.96,F-2
Almacen 0,Producto 75,47,18.13,B-1
Almacen 0,Producto 76,60,20.38,A-3
Almacen 0,Producto 77,5,21.99,E-8
Almacen 0,Producto 78,25,28.16,F-3
Almacen 0,Producto 79,65,20.26,C-8
Almacen 0,Producto 80,62,23.28,C-3
Almacen 0,Producto 81,72,8.67,G-3
Almacen 0,Producto 82,98,8.54,B-5
Almacen 0,Producto 83,30,29.19,A-1
Almacen 0,Producto 84,51,10.38,C-2
Almacen 0,Producto 85,71,26.65,A-2
Almacen 0,Producto 86,16,12.67,A-6
Almacen 0,Producto 87,0,21.74,A-2
Almacen 0,Producto 88,86,4.85,H-2
Almacen 0,Producto 89,25,23.57,G-3
Almacen 0,Producto 90,68,20.9,A-4
Almacen 0,Producto 91,24,2.52,E-2
Almacen 0,Producto 92,65,20.18,B-7
Almacen 0,Producto 93,98,18.41,E-5
Almacen 0,Producto 94,6,9.82,H-8
