documento,empresa,corresponsal,numeroConfirmacion,prioridad
0,Empresa 192,Corresponsal 67,470438,Media
1,Empresa 26,Corresponsal 90,459443,Baja
2,Empresa 14,Corresponsal 35,127442,Media
4,Empresa 69,Corresponsal 89,310514,Baja
6,Empresa 30,Corresponsal 62,337727,Alta
9,Empresa 138,Corresponsal 14,724255,Alta
16,Empresa 85,Corresponsal 45,496467,Media
17,Empresa 50,Corresponsal 9,960124,Alta
25,Empresa 110,Corresponsal 95,748137,Media
31,Empresa 60,Corresponsal 69,229199,Baja
34,Empresa 110,Corresponsal 23,319539,Alta
44,Empresa 52,Corresponsal 43,555915,Alta
45,Empresa 42,Corresponsal 1,606094,Baja
46,Empresa 11,Corresponsal 75,910859,Media
47,Empresa 136,Corresponsal 88,545782,Baja
51,Empresa 188,Corresponsal 69,605823,Baja
60,Empresa 140,Corresponsal 3,931118,Media
61,Empresa 61,Corresponsal 52,598158,Baja
63,Empresa 127,Corresponsal 53,668929,Media
73,Empresa 27,Corresponsal 15,680018,Media
75,Empresa 164,Corresponsal 16,191534,Baja
78,Empresa 191,Corresponsal 60,586922,Baja
88,Empresa 158,Corresponsal 39,838624,Baja
89,Empresa 164,Corresponsal 80,845701,Baja
94,Empresa 77,Corresponsal 70,845512,Media
96,Empresa 38,Corresponsal 99,305495,Media
100,Empresa 33,Corresponsal 67,701262,Media
114,Empresa 103,Corresponsal 7,441530,Baja
119,Empresa 89,Corresponsal 81,271024,Media
121,Empresa 135,Corresponsal 30,293343,Alta
124,Empresa 50,Corresponsal 3,349824,Alta
126,Empresa 51,Corresponsal 52,562501,Baja
129,Empresa 130,Corresponsal 58,346058,Media
131,Empresa 14,Corresponsal 76,376018,Baja
132,Empresa 127,Corresponsal 74,813024,Baja
134,Empresa 29,Corresponsal 70,422507,Baja
141,Empresa 51,Corresponsal 29,626229,Alta
142,Empresa 110,Corresponsal 65,984575,Alta
147,Empresa 103,Corresponsal 68,367322,Baja
150,Empresa 17,Corresponsal 80,995468,Baja
152,Empresa 11,Corresponsal 42,616279,Baja
158,Empresa 56,Corresponsal 51,510994,Baja
164,Empresa 158,Corresponsal 46,766471,Alta
165,Empresa 36,Corresponsal 69,791391,Baja
166,Empresa 22,Corresponsal 63,174303,Alta
167,Empresa 30,Corresponsal 93,346811,Alta
168,Empresa 138,Corresponsal 8,930644,Baja
170,Empresa 166,Corresponsal 74,311649,Alta
174,Empresa 177,Corresponsal 88,654083,Media
181,Empresa 164,Corresponsal 24,930002,Alta
188,Empresa 103,Corresponsal 72,151167,Media
191,Empresa 136,Corresponsal 31,353571,Alta
193,Empresa 7,Corresponsal 63,920235,Media
195,Empresa 103,Corresponsal 2,695752,Media
196,Empresa 142,Corresponsal 84,158119,Baja
199,Empresa 149,Corresponsal 84,142211,Alta
201,Empresa 74,Corresponsal 15,855672,Baja
203,Empresa 53,Corresponsal 46,856549,Baja
204,Empresa 155,Corresponsal 29,679688,Media
206,Empresa 110,Corresponsal 55,532256,Alta
208,Empresa 57,Corresponsal 66,370552,Baja
210,Empresa 17,Corresponsal 2,640020,Baja
211,Empresa 136,Corresponsal 32,745681,Media
213,Empresa 66,Corresponsal 4,501175,Media
215,Empresa 17,Corresponsal 45,608098,Media
216,Empresa 22,Corresponsal 34,518757,Alta
217,Empresa 0,Corresponsal 46,155994,Media
221,Empresa 151,Corresponsal 35,622322,Alta
226,Empresa 95,Corresponsal 56,591084,Media
227,Empresa 148,Corresponsal 9,513743,Media
232,Empresa 57,Corresponsal 69,141299,Media
234,Empresa 114,Corresponsal 98,389055,Alta
236,Empresa 101,Corresponsal 81,961383,Baja
237,Empresa 179,Corresponsal 48,803909,Alta
238,Empresa 144,Corresponsal 86,921101,Media
239,Empresa 29,Corresponsal 32,801064,Baja
240,Empresa 138,Corresponsal 23,805746,Baja
243,Empresa 40,Corresponsal 63,270815,Media
244,Empresa 46,Corresponsal 31,126508,Alta
253,Empresa 138,Corresponsal 23,709118,Baja
256,Empresa 80,Corresponsal 38,716958,Media
258,Empresa 199,Corresponsal 16,699732,Alta
260,Empresa 17,Corresponsal 78,152553,Alta
261,Empresa 66,Corresponsal 71,227123,Baja
262,Empresa 11,Corresponsal 51,580571,Baja
267,Empresa 74,Corresponsal 41,718944,Baja
270,Empresa 136,Corresponsal 13,746191,Baja
272,Empresa 171,Corresponsal 71,915158,Alta
273,Empresa 112,Corresponsal 25,772191,Baja
275,Empresa 157,Corresponsal 9,967259,Alta
277,Empresa 103,Corresponsal 53,704419,Baja
280,Empresa 142,Corresponsal 19,440946,Media
281,Empresa 0,Corresponsal 41,106807,Alta
284,Empresa 188,Corresponsal 73,733590,Media
285,Empresa 149,Corresponsal 6,341349,Media
294,Empresa 80,Corresponsal 40,751494,Media
298,Empresa 171,Corresponsal 10,983949,Alta
302,Empresa 64,Corresponsal 29,587676,Media
303,Empresa 77,Corresponsal 49,673099,Alta
305,Empresa 127,Corresponsal 9,284328,Baja
310,Empresa 29,Corresponsal 22,163882,Baja
312,Empresa 177,Corresponsal 66,642804,Media
313,Empresa 185,Corresponsal 91,771834,Alta
315,Empresa 88,Corresponsal 30,729563,Alta
317,Empresa 120,Corresponsal 87,921980,Media
