documento,producto,cantidad,colores,Premium
0,Producto 698,1,Gris,False
0,Producto 172,5,Dorado,False
0,Producto 1398,2,Multicolor,True
0,Producto 322,4,Rojo,False
0,Producto 305,7,Rojo,True
0,Producto 576,8,Plateado,True
1,Producto 1058,8,Multicolor,True
1,Producto 91,6,Rojo,False
1,Producto 466,3,Gris,False
1,Producto 655,2,Negro,False
1,Producto 1031,5,Plateado,False
1,Producto 1360,1,Rojo,True
1,Producto 967,10,Azul,False
2,Producto 1150,4,Dorado,False
2,Producto 697,2,Multicolor,False
2,Producto 1261,10,Plateado,True
2,Producto 343,4,Multicolor,False
2,Producto 940,1,Gris,True
2,Producto 179,2,Negro,True
2,Producto 482,9,Rojo,True
2,Producto 430,4,Gris,True
2,Producto 992,6,Plateado,False
2,Producto 82,6,Gris,False
3,Producto 825,3,Dorado,False
3,Producto 127,4,Negro,True
3,Producto 802,3,Negro,False
3,Producto 1192,7,Negro,True
3,Producto 480,5,Negro,True
3,Producto 278,1,Gris,True
3,Producto 1435,10,Multicolor,True
3,Producto 677,4,Azul,True
4,Producto 802,7,Rojo,True
5,Producto 967,4,Azul,True
5,Producto 26,5,Negro,True
5,Producto 255,7,Gris,True
5,Producto 1048,3,Azul,False
5,Producto 1052,7,Azul,True
5,Producto 1261,4,Azul,False
6,Producto 722,6,Dorado,False
6,Producto 456,10,Negro,False
6,Producto 418,1,Negro,True
6,Producto 757,7,Rojo,True
7,Producto 914,4,Multicolor,False
7,Producto 481,2,Rojo,True
7,Producto 749,3,Azul,False
7,Producto 353,2,Plateado,True
7,Producto 260,8,Negro,True
7,Producto 1181,1,Multicolor,True
8,Producto 688,6,Dorado,False
8,Producto 1319,8,Plateado,True
8,Producto 650,1,Rojo,False
8,Producto 1288,1,Dorado,True
9,Producto 130,1,Gris,True
9,Producto 1072,5,Negro,False
9,Producto 1175,6,Azul,False
9,Producto 160,4,Plateado,True
10,Producto 43,9,Gris,True
10,Producto 1358,9,Multicolor,False
10,Producto 1123,1,Gris,False
10,Producto 691,4,Plateado,False
10,Producto 390,9,Plateado,True
10,Producto 876,3,Negro,False
10,Producto 1165,10,Plateado,False
11,Producto 515,1,Azul,False
11,Producto 487,10,Plateado,False
12,Producto 1125,6,Gris,False
12,Producto 1081,10,Azul,True
12,Producto 113,4,Rojo,True
12,Producto 1215,4,Rojo,True
12,Producto 979,5,Azul,True
12,Producto 799,4,Dorado,True
12,Producto 1108,9,Gris,True
12,Producto 1198,1,Azul,False
12,Producto 1290,10,Rojo,True
13,Producto 186,10,Multicolor,True
13,Producto 902,10,Negro,True
13,Producto 1294,10,Rojo,False
13,Producto 1028,5,Rojo,True
13,Producto 407,3,Negro,True
13,Producto 1475,4,Multicolor,True
14,Producto 566,3,Dorado,True
14,Producto 633,8,Rojo,False
15,Producto 296,5,Negro,False
15,Producto 232,3,Azul,True
15,Producto 906,7,Dorado,True
15,Producto 598,5,Azul,False
15,Producto 418,6,Plateado,True
16,Producto 28,4,Rojo,False
16,Producto 784,7,Dorado,False
